sex,age,fare,embarked,class,who,embark_town,alive,alone
female,28.0,13.0,S,Second,woman,Southampton,yes,TRUE
male,,8.1125,S,Third,man,Southampton,yes,TRUE
male,4.0,81.8583,S,First,child,Southampton,yes,FALSE
female,13.0,19.5,S,Second,child,Southampton,yes,FALSE
male,34.0,26.55,S,First,man,Southampton,yes,TRUE
female,5.0,19.2583,C,Third,child,Cherbourg,yes,FALSE
male,52.0,30.5,S,First,man,Southampton,yes,TRUE
male,36.0,27.75,S,Second,man,Southampton,no,FALSE
male,,19.9667,S,Third,man,Southampton,no,FALSE
male,30.0,27.75,C,First,man,Cherbourg,no,TRUE
male,49.0,89.1042,C,First,man,Cherbourg,yes,FALSE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,29.0,7.8958,C,Third,man,Cherbourg,yes,TRUE
male,65.0,26.55,S,First,man,Southampton,no,TRUE
female,,51.8625,S,First,woman,Southampton,yes,FALSE
female,50.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
male,48.0,26.55,S,First,man,Southampton,yes,TRUE
male,34.0,8.05,S,Third,man,Southampton,no,TRUE
male,47.0,38.5,S,First,man,Southampton,no,TRUE
male,48.0,13.0,S,Second,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,38.0,7.05,S,Third,man,Southampton,no,TRUE
male,,0.0,S,Second,man,Southampton,no,TRUE
male,56.0,26.55,S,First,man,Southampton,no,TRUE
male,,7.725,Q,Third,man,Queenstown,no,TRUE
female,0.75,19.2583,C,Third,child,Cherbourg,yes,FALSE
male,,7.25,S,Third,man,Southampton,no,TRUE
male,38.0,8.6625,S,Third,man,Southampton,no,TRUE
female,33.0,27.75,S,Second,woman,Southampton,yes,FALSE
female,23.0,13.7917,C,Second,woman,Cherbourg,yes,TRUE
female,22.0,9.8375,S,Third,woman,Southampton,no,TRUE
male,,52.0,S,First,man,Southampton,no,TRUE
male,34.0,21.0,S,Second,man,Southampton,no,FALSE
male,29.0,7.0458,S,Third,man,Southampton,no,FALSE
male,22.0,7.5208,S,Third,man,Southampton,no,TRUE
female,2.0,12.2875,S,Third,child,Southampton,yes,FALSE
male,9.0,46.9,S,Third,child,Southampton,no,FALSE
male,,0.0,S,Second,man,Southampton,no,TRUE
male,50.0,8.05,S,Third,man,Southampton,no,TRUE
female,63.0,9.5875,S,Third,woman,Southampton,yes,TRUE
male,25.0,91.0792,C,First,man,Cherbourg,yes,FALSE
female,,25.4667,S,Third,woman,Southampton,no,FALSE
female,35.0,90.0,S,First,woman,Southampton,yes,FALSE
male,58.0,29.7,C,First,man,Cherbourg,no,TRUE
male,30.0,8.05,S,Third,man,Southampton,no,TRUE
male,9.0,15.9,S,Third,child,Southampton,yes,FALSE
male,,19.9667,S,Third,man,Southampton,no,FALSE
male,21.0,7.25,S,Third,man,Southampton,no,TRUE
male,55.0,30.5,S,First,man,Southampton,no,TRUE
male,71.0,49.5042,C,First,man,Cherbourg,no,TRUE
male,21.0,8.05,S,Third,man,Southampton,no,TRUE
male,,14.4583,C,Third,man,Cherbourg,no,TRUE
female,54.0,78.2667,C,First,woman,Cherbourg,yes,FALSE
male,,15.1,S,Third,man,Southampton,no,TRUE
female,25.0,151.55,S,First,woman,Southampton,no,FALSE
male,24.0,7.7958,S,Third,man,Southampton,no,TRUE
male,17.0,8.6625,S,Third,man,Southampton,no,TRUE
female,21.0,7.75,Q,Third,woman,Queenstown,no,TRUE
female,,7.6292,Q,Third,woman,Queenstown,no,TRUE
female,37.0,9.5875,S,Third,woman,Southampton,no,TRUE
female,16.0,86.5,S,First,woman,Southampton,yes,TRUE
male,18.0,108.9,C,First,man,Cherbourg,no,FALSE
female,33.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,,26.55,S,First,man,Southampton,yes,TRUE
male,28.0,22.525,S,Third,man,Southampton,no,TRUE
male,26.0,56.4958,S,Third,man,Southampton,yes,TRUE
male,29.0,7.75,Q,Third,man,Queenstown,yes,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,36.0,26.2875,S,First,man,Southampton,yes,TRUE
female,54.0,59.4,C,First,woman,Cherbourg,yes,FALSE
male,24.0,7.4958,S,Third,man,Southampton,no,TRUE
male,47.0,34.0208,S,First,man,Southampton,no,TRUE
female,34.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,,24.15,Q,Third,man,Queenstown,no,TRUE
female,36.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,32.0,7.8958,S,Third,man,Southampton,no,TRUE
female,30.0,93.5,S,First,woman,Southampton,yes,TRUE
male,22.0,7.8958,S,Third,man,Southampton,no,TRUE
male,,7.225,C,Third,man,Cherbourg,no,TRUE
female,44.0,57.9792,C,First,woman,Cherbourg,yes,FALSE
male,,7.2292,C,Third,man,Cherbourg,no,TRUE
male,40.5,7.75,Q,Third,man,Queenstown,no,TRUE
female,50.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,,221.7792,S,First,man,Southampton,no,TRUE
male,39.0,7.925,S,Third,man,Southampton,no,TRUE
male,23.0,11.5,S,Second,man,Southampton,no,FALSE
female,2.0,26.0,S,Second,child,Southampton,yes,FALSE
male,,7.2292,C,Third,man,Cherbourg,no,TRUE
male,17.0,7.2292,C,Third,man,Cherbourg,no,FALSE
female,,22.3583,C,Third,woman,Cherbourg,yes,FALSE
female,30.0,8.6625,S,Third,woman,Southampton,no,TRUE
female,7.0,26.25,S,Second,child,Southampton,yes,FALSE
male,45.0,26.55,S,First,man,Southampton,no,TRUE
female,30.0,106.425,C,First,woman,Cherbourg,yes,TRUE
male,,14.5,S,Third,man,Southampton,no,TRUE
female,22.0,49.5,C,First,woman,Cherbourg,yes,FALSE
female,36.0,71.0,S,First,woman,Southampton,yes,FALSE
female,9.0,31.275,S,Third,child,Southampton,no,FALSE
female,11.0,31.275,S,Third,child,Southampton,no,FALSE
male,32.0,26.0,S,Second,man,Southampton,yes,FALSE
male,50.0,106.425,C,First,man,Cherbourg,no,FALSE
male,64.0,26.0,S,First,man,Southampton,no,TRUE
female,19.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,,13.8625,C,Second,man,Cherbourg,yes,TRUE
male,33.0,20.525,S,Third,man,Southampton,no,FALSE
male,8.0,36.75,S,Second,child,Southampton,yes,FALSE
male,17.0,110.8833,C,First,man,Cherbourg,yes,FALSE
male,27.0,26.0,S,Second,man,Southampton,no,TRUE
male,,7.8292,Q,Third,man,Queenstown,no,TRUE
male,22.0,7.225,C,Third,man,Cherbourg,yes,TRUE
female,22.0,7.775,S,Third,woman,Southampton,yes,TRUE
male,62.0,26.55,S,First,man,Southampton,no,TRUE
female,48.0,39.6,C,First,woman,Cherbourg,yes,FALSE
male,,227.525,C,First,man,Cherbourg,no,TRUE
female,39.0,79.65,S,First,woman,Southampton,yes,FALSE
female,36.0,17.4,S,Third,woman,Southampton,yes,FALSE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
male,40.0,7.8958,S,Third,man,Southampton,no,TRUE
male,28.0,13.5,S,Second,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
female,,8.05,S,Third,woman,Southampton,no,TRUE
male,24.0,24.15,S,Third,man,Southampton,no,FALSE
male,19.0,7.8958,S,Third,man,Southampton,no,TRUE
female,29.0,21.075,S,Third,woman,Southampton,no,FALSE
male,,7.2292,C,Third,man,Cherbourg,no,TRUE
male,32.0,7.8542,S,Third,man,Southampton,yes,TRUE
male,62.0,10.5,S,Second,man,Southampton,yes,TRUE
female,53.0,51.4792,S,First,woman,Southampton,yes,FALSE
male,36.0,26.3875,S,First,man,Southampton,yes,TRUE
female,,7.75,Q,Third,woman,Queenstown,yes,TRUE
male,16.0,8.05,S,Third,man,Southampton,no,TRUE
male,19.0,14.5,S,Third,man,Southampton,no,TRUE
female,34.0,13.0,S,Second,woman,Southampton,yes,TRUE
female,39.0,55.9,S,First,woman,Southampton,yes,FALSE
female,,14.4583,C,Third,woman,Cherbourg,no,FALSE
male,32.0,7.925,S,Third,man,Southampton,yes,TRUE
female,25.0,30.0,S,Second,woman,Southampton,yes,FALSE
female,39.0,110.8833,C,First,woman,Cherbourg,yes,FALSE
male,54.0,26.0,S,Second,man,Southampton,no,TRUE
male,36.0,40.125,C,First,man,Cherbourg,no,TRUE
male,,8.7125,C,Third,man,Cherbourg,no,TRUE
female,18.0,79.65,S,First,woman,Southampton,yes,FALSE
male,47.0,15.0,S,Second,man,Southampton,no,TRUE
male,60.0,79.2,C,First,man,Cherbourg,yes,FALSE
male,22.0,8.05,S,Third,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,35.0,7.125,S,Third,man,Southampton,no,TRUE
female,52.0,78.2667,C,First,woman,Cherbourg,yes,FALSE
male,47.0,7.25,S,Third,man,Southampton,no,TRUE
female,,7.75,Q,Third,woman,Queenstown,no,FALSE
male,37.0,26.0,S,Second,man,Southampton,no,FALSE
male,36.0,24.15,S,Third,man,Southampton,no,FALSE
female,,33.0,S,Second,woman,Southampton,yes,TRUE
male,49.0,0.0,S,Third,man,Southampton,no,TRUE
male,,7.225,C,Third,man,Cherbourg,no,TRUE
male,49.0,56.9292,C,First,man,Cherbourg,yes,FALSE
female,24.0,27.0,S,Second,woman,Southampton,yes,FALSE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,,42.4,S,First,man,Southampton,no,TRUE
male,44.0,8.05,S,Third,man,Southampton,no,TRUE
male,35.0,26.55,C,First,man,Cherbourg,yes,TRUE
male,36.0,15.55,S,Third,man,Southampton,no,FALSE
male,30.0,7.8958,S,Third,man,Southampton,no,TRUE
male,27.0,30.5,S,First,man,Southampton,yes,TRUE
female,22.0,41.5792,C,Second,woman,Cherbourg,yes,FALSE
female,40.0,153.4625,S,First,woman,Southampton,yes,TRUE
female,39.0,31.275,S,Third,woman,Southampton,no,FALSE
male,,7.05,S,Third,man,Southampton,no,TRUE
female,,15.5,Q,Third,woman,Queenstown,yes,FALSE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
male,35.0,8.05,S,Third,man,Southampton,no,TRUE
female,24.0,65.0,S,Second,woman,Southampton,yes,FALSE
male,34.0,14.4,S,Third,man,Southampton,no,FALSE
female,26.0,16.1,S,Third,woman,Southampton,no,FALSE
female,4.0,39.0,S,Second,child,Southampton,yes,FALSE
male,26.0,10.5,S,Second,man,Southampton,no,TRUE
male,27.0,14.4542,C,Third,man,Cherbourg,no,FALSE
male,42.0,52.5542,S,First,man,Southampton,yes,FALSE
male,20.0,15.7417,C,Third,man,Cherbourg,yes,FALSE
male,21.0,7.8542,S,Third,man,Southampton,no,TRUE
male,21.0,16.1,S,Third,man,Southampton,no,TRUE
male,61.0,32.3208,S,First,man,Southampton,no,TRUE
male,57.0,12.35,Q,Second,man,Queenstown,no,TRUE
female,21.0,77.9583,S,First,woman,Southampton,yes,TRUE
male,26.0,7.8958,S,Third,man,Southampton,no,TRUE
male,,7.7333,Q,Third,man,Queenstown,no,TRUE
male,80.0,30.0,S,First,man,Southampton,yes,TRUE
male,51.0,7.0542,S,Third,man,Southampton,no,TRUE
male,32.0,30.5,C,First,man,Cherbourg,yes,TRUE
male,,0.0,S,First,man,Southampton,no,TRUE
female,9.0,27.9,S,Third,child,Southampton,no,FALSE
female,28.0,13.0,S,Second,woman,Southampton,yes,TRUE
male,32.0,7.925,S,Third,man,Southampton,no,TRUE
male,31.0,26.25,S,Second,man,Southampton,no,FALSE
female,41.0,39.6875,S,Third,woman,Southampton,no,FALSE
male,,16.1,S,Third,man,Southampton,no,FALSE
male,20.0,7.8542,S,Third,man,Southampton,no,TRUE
female,24.0,69.3,C,First,woman,Cherbourg,yes,TRUE
female,2.0,27.9,S,Third,child,Southampton,no,FALSE
male,,56.4958,S,Third,man,Southampton,yes,TRUE
female,0.75,19.2583,C,Third,child,Cherbourg,yes,FALSE
male,48.0,76.7292,C,First,man,Cherbourg,yes,FALSE
male,19.0,7.8958,S,Third,man,Southampton,no,TRUE
male,56.0,35.5,C,First,man,Cherbourg,yes,TRUE
male,,7.55,S,Third,man,Southampton,no,TRUE
female,23.0,7.55,S,Third,woman,Southampton,yes,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
female,18.0,23.0,S,Second,woman,Southampton,yes,FALSE
male,21.0,8.4333,S,Third,man,Southampton,no,TRUE
female,,7.8292,Q,Third,woman,Queenstown,yes,TRUE
female,18.0,6.75,Q,Third,woman,Queenstown,no,TRUE
male,24.0,73.5,S,Second,man,Southampton,no,FALSE
male,,7.8958,S,Third,man,Southampton,no,TRUE
female,32.0,15.5,Q,Third,woman,Queenstown,no,FALSE
male,23.0,13.0,S,Second,man,Southampton,no,TRUE
male,58.0,113.275,C,First,man,Cherbourg,no,FALSE
male,50.0,133.65,S,First,man,Southampton,yes,FALSE
male,40.0,7.225,C,Third,man,Cherbourg,no,TRUE
male,47.0,25.5875,S,First,man,Southampton,no,TRUE
male,36.0,7.4958,S,Third,man,Southampton,no,TRUE
male,20.0,7.925,S,Third,man,Southampton,yes,FALSE
male,32.0,73.5,S,Second,man,Southampton,no,FALSE
male,25.0,13.0,S,Second,man,Southampton,no,TRUE
male,,7.775,S,Third,man,Southampton,no,TRUE
male,43.0,8.05,S,Third,man,Southampton,no,TRUE
female,,52.0,S,First,woman,Southampton,yes,FALSE
female,40.0,39.0,S,Second,woman,Southampton,yes,FALSE
male,31.0,52.0,S,First,man,Southampton,no,FALSE
male,70.0,10.5,S,Second,man,Southampton,no,TRUE
male,31.0,13.0,S,Second,man,Southampton,yes,TRUE
male,,0.0,S,Second,man,Southampton,no,TRUE
male,18.0,7.775,S,Third,man,Southampton,no,TRUE
male,24.5,8.05,S,Third,man,Southampton,no,TRUE
female,18.0,9.8417,S,Third,woman,Southampton,yes,TRUE
female,43.0,46.9,S,Third,woman,Southampton,no,FALSE
male,36.0,512.3292,C,First,man,Cherbourg,yes,FALSE
female,,8.1375,Q,Third,woman,Queenstown,no,TRUE
male,27.0,76.7292,C,First,man,Cherbourg,yes,TRUE
male,20.0,9.225,S,Third,man,Southampton,no,TRUE
male,14.0,46.9,S,Third,child,Southampton,no,FALSE
male,60.0,39.0,S,Second,man,Southampton,no,FALSE
male,25.0,41.5792,C,Second,man,Cherbourg,no,FALSE
male,14.0,39.6875,S,Third,child,Southampton,no,FALSE
male,19.0,10.1708,S,Third,man,Southampton,no,TRUE
male,18.0,7.7958,S,Third,man,Southampton,no,TRUE
female,15.0,211.3375,S,First,child,Southampton,yes,FALSE
male,31.0,57.0,S,First,man,Southampton,yes,FALSE
female,4.0,13.4167,C,Third,child,Cherbourg,yes,FALSE
male,,56.4958,S,Third,man,Southampton,yes,TRUE
male,25.0,7.225,C,Third,man,Cherbourg,no,TRUE
male,60.0,26.55,S,First,man,Southampton,no,TRUE
male,52.0,13.5,S,Second,man,Southampton,no,TRUE
male,44.0,8.05,S,Third,man,Southampton,no,TRUE
female,,7.7333,Q,Third,woman,Queenstown,yes,TRUE
male,49.0,110.8833,C,First,man,Cherbourg,no,FALSE
male,42.0,7.65,S,Third,man,Southampton,no,TRUE
female,18.0,227.525,C,First,woman,Cherbourg,yes,FALSE
male,35.0,26.2875,S,First,man,Southampton,yes,TRUE
female,18.0,14.4542,C,Third,woman,Cherbourg,no,FALSE
male,25.0,7.7417,Q,Third,man,Queenstown,no,TRUE
male,26.0,7.8542,S,Third,man,Southampton,no,FALSE
male,39.0,26.0,S,Second,man,Southampton,no,TRUE
female,45.0,13.5,S,Second,woman,Southampton,yes,TRUE
male,42.0,26.2875,S,First,man,Southampton,yes,TRUE
female,22.0,151.55,S,First,woman,Southampton,yes,TRUE
male,,15.2458,C,Third,man,Cherbourg,yes,FALSE
female,24.0,49.5042,C,First,woman,Cherbourg,yes,TRUE
male,,26.55,S,First,man,Southampton,no,TRUE
male,48.0,52.0,S,First,man,Southampton,yes,FALSE
male,29.0,9.4833,S,Third,man,Southampton,no,TRUE
male,52.0,13.0,S,Second,man,Southampton,no,TRUE
male,19.0,7.65,S,Third,man,Southampton,no,TRUE
female,38.0,227.525,C,First,woman,Cherbourg,yes,TRUE
female,27.0,10.5,S,Second,woman,Southampton,yes,TRUE
male,,15.5,Q,Third,man,Queenstown,no,TRUE
male,33.0,7.775,S,Third,man,Southampton,no,TRUE
female,6.0,33.0,S,Second,child,Southampton,yes,FALSE
male,17.0,7.0542,S,Third,man,Southampton,no,FALSE
male,34.0,13.0,S,Second,man,Southampton,no,TRUE
male,50.0,13.0,S,Second,man,Southampton,no,TRUE
male,27.0,53.1,S,First,man,Southampton,yes,FALSE
male,20.0,8.6625,S,Third,man,Southampton,no,TRUE
female,30.0,21.0,S,Second,woman,Southampton,yes,FALSE
female,,7.7375,Q,Third,woman,Queenstown,yes,TRUE
male,25.0,26.0,S,Second,man,Southampton,no,FALSE
female,25.0,7.925,S,Third,woman,Southampton,no,FALSE
female,29.0,211.3375,S,First,woman,Southampton,yes,TRUE
male,11.0,18.7875,C,Third,child,Cherbourg,no,TRUE
male,,0.0,S,Second,man,Southampton,no,TRUE
male,23.0,13.0,S,Second,man,Southampton,no,TRUE
male,23.0,13.0,S,Second,man,Southampton,no,TRUE
male,28.5,16.1,S,Third,man,Southampton,no,TRUE
female,48.0,34.375,S,Third,woman,Southampton,no,FALSE
male,35.0,512.3292,C,First,man,Cherbourg,yes,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
male,,30.0,S,First,man,Southampton,yes,TRUE
male,36.0,78.85,S,First,man,Southampton,no,FALSE
female,21.0,262.375,C,First,woman,Cherbourg,yes,FALSE
male,24.0,16.1,S,Third,man,Southampton,no,FALSE
male,31.0,7.925,S,Third,man,Southampton,yes,TRUE
male,70.0,71.0,S,First,man,Southampton,no,FALSE
male,16.0,20.25,S,Third,man,Southampton,no,FALSE
female,30.0,13.0,S,Second,woman,Southampton,yes,TRUE
male,19.0,53.1,S,First,man,Southampton,no,FALSE
male,31.0,7.75,Q,Third,man,Queenstown,no,TRUE
female,4.0,23.0,S,Second,child,Southampton,yes,FALSE
male,6.0,12.475,S,Third,child,Southampton,yes,FALSE
male,33.0,9.5,S,Third,man,Southampton,no,TRUE
male,23.0,7.8958,S,Third,man,Southampton,no,TRUE
female,48.0,65.0,S,Second,woman,Southampton,yes,FALSE
male,0.67,14.5,S,Second,child,Southampton,yes,FALSE
male,28.0,7.7958,S,Third,man,Southampton,no,TRUE
male,18.0,11.5,S,Second,man,Southampton,no,TRUE
male,34.0,8.05,S,Third,man,Southampton,no,TRUE
female,33.0,86.5,S,First,woman,Southampton,yes,TRUE
male,,14.5,S,Third,man,Southampton,no,TRUE
male,41.0,7.125,S,Third,man,Southampton,no,TRUE
male,20.0,7.2292,C,Third,man,Cherbourg,yes,TRUE
female,36.0,120.0,S,First,woman,Southampton,yes,FALSE
male,16.0,7.775,S,Third,man,Southampton,no,TRUE
female,51.0,77.9583,S,First,woman,Southampton,yes,FALSE
male,,39.6,C,First,man,Cherbourg,no,TRUE
female,30.5,7.75,Q,Third,woman,Queenstown,no,TRUE
male,,24.15,Q,Third,man,Queenstown,no,FALSE
male,32.0,8.3625,S,Third,man,Southampton,no,TRUE
male,24.0,9.5,S,Third,man,Southampton,no,TRUE
male,48.0,7.8542,S,Third,man,Southampton,no,TRUE
female,57.0,10.5,S,Second,woman,Southampton,no,TRUE
male,,7.225,C,Third,man,Cherbourg,no,TRUE
female,54.0,23.0,S,Second,woman,Southampton,yes,FALSE
male,18.0,7.75,S,Third,man,Southampton,no,TRUE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
female,5.0,12.475,S,Third,child,Southampton,yes,TRUE
male,,7.7375,Q,Third,man,Queenstown,no,TRUE
female,43.0,211.3375,S,First,woman,Southampton,yes,FALSE
female,13.0,7.2292,C,Third,child,Cherbourg,yes,TRUE
female,17.0,57.0,S,First,woman,Southampton,yes,FALSE
male,29.0,30.0,S,First,man,Southampton,no,TRUE
male,,23.45,S,Third,man,Southampton,no,FALSE
male,25.0,7.05,S,Third,man,Southampton,no,TRUE
male,25.0,7.25,S,Third,man,Southampton,no,TRUE
female,18.0,7.4958,S,Third,woman,Southampton,yes,TRUE
male,8.0,29.125,Q,Third,child,Queenstown,no,FALSE
male,1.0,20.575,S,Third,child,Southampton,yes,FALSE
male,46.0,79.2,C,First,man,Cherbourg,no,TRUE
male,,7.75,Q,Third,man,Queenstown,no,TRUE
male,16.0,26.0,S,Second,man,Southampton,no,TRUE
female,,69.55,S,Third,woman,Southampton,no,FALSE
male,,30.6958,C,First,man,Cherbourg,no,TRUE
male,25.0,7.8958,S,Third,man,Southampton,no,TRUE
male,39.0,13.0,S,Second,man,Southampton,no,TRUE
female,49.0,25.9292,S,First,woman,Southampton,yes,TRUE
female,31.0,8.6833,S,Third,woman,Southampton,yes,TRUE
male,30.0,7.2292,C,Third,man,Cherbourg,no,TRUE
female,30.0,24.15,S,Third,woman,Southampton,no,FALSE
male,34.0,13.0,S,Second,man,Southampton,no,TRUE
female,31.0,26.25,S,Second,woman,Southampton,yes,FALSE
male,11.0,120.0,S,First,child,Southampton,yes,FALSE
male,0.42,8.5167,C,Third,child,Cherbourg,yes,FALSE
male,27.0,6.975,S,Third,man,Southampton,yes,TRUE
male,31.0,7.775,S,Third,man,Southampton,no,TRUE
male,39.0,0.0,S,First,man,Southampton,no,TRUE
female,18.0,7.775,S,Third,woman,Southampton,no,TRUE
male,39.0,13.0,S,Second,man,Southampton,no,TRUE
female,33.0,53.1,S,First,woman,Southampton,yes,FALSE
male,26.0,7.8875,S,Third,man,Southampton,no,TRUE
male,39.0,24.15,S,Third,man,Southampton,no,TRUE
male,35.0,10.5,S,Second,man,Southampton,no,TRUE
female,6.0,31.275,S,Third,child,Southampton,no,FALSE
male,30.5,8.05,S,Third,man,Southampton,no,TRUE
male,,0.0,S,First,man,Southampton,no,TRUE
female,23.0,7.925,S,Third,woman,Southampton,no,TRUE
male,31.0,37.0042,C,Second,man,Cherbourg,no,FALSE
male,43.0,6.45,S,Third,man,Southampton,no,TRUE
male,10.0,27.9,S,Third,child,Southampton,no,FALSE
female,52.0,93.5,S,First,woman,Southampton,yes,FALSE
male,27.0,8.6625,S,Third,man,Southampton,yes,TRUE
male,38.0,0.0,S,First,man,Southampton,no,TRUE
female,27.0,12.475,S,Third,woman,Southampton,yes,FALSE
male,2.0,39.6875,S,Third,child,Southampton,no,FALSE
male,,6.95,Q,Third,man,Queenstown,no,TRUE
male,,56.4958,S,Third,man,Southampton,no,TRUE
male,1.0,37.0042,C,Second,child,Cherbourg,yes,FALSE
male,,7.75,Q,Third,man,Queenstown,yes,TRUE
female,62.0,80.0,,First,woman,,yes,TRUE
female,15.0,14.4542,C,Third,child,Cherbourg,yes,FALSE
male,0.83,18.75,S,Second,child,Southampton,yes,FALSE
male,,7.2292,C,Third,man,Cherbourg,no,TRUE
male,23.0,7.8542,S,Third,man,Southampton,no,TRUE
male,18.0,8.3,S,Third,man,Southampton,no,TRUE
female,39.0,83.1583,C,First,woman,Cherbourg,yes,FALSE
male,21.0,8.6625,S,Third,man,Southampton,no,TRUE
male,,8.05,S,Third,man,Southampton,no,TRUE
male,32.0,56.4958,S,Third,man,Southampton,yes,TRUE
male,,29.7,C,First,man,Cherbourg,yes,TRUE
male,20.0,7.925,S,Third,man,Southampton,no,TRUE
male,16.0,10.5,S,Second,man,Southampton,no,TRUE
female,30.0,31.0,C,First,woman,Cherbourg,yes,TRUE
male,34.5,6.4375,C,Third,man,Cherbourg,no,TRUE
male,17.0,8.6625,S,Third,man,Southampton,no,TRUE
male,42.0,7.55,S,Third,man,Southampton,no,TRUE
male,,69.55,S,Third,man,Southampton,no,FALSE
male,35.0,7.8958,C,Third,man,Cherbourg,no,TRUE
male,28.0,33.0,S,Second,man,Southampton,no,FALSE
female,,89.1042,C,First,woman,Cherbourg,yes,FALSE
male,4.0,31.275,S,Third,child,Southampton,no,FALSE
male,74.0,7.775,S,Third,man,Southampton,no,TRUE
female,9.0,15.2458,C,Third,child,Cherbourg,no,FALSE
female,16.0,39.4,S,First,woman,Southampton,yes,FALSE
female,44.0,26.0,S,Second,woman,Southampton,no,FALSE
female,18.0,9.35,S,Third,woman,Southampton,yes,FALSE
female,45.0,164.8667,S,First,woman,Southampton,yes,FALSE
male,51.0,26.55,S,First,man,Southampton,yes,TRUE
female,24.0,19.2583,C,Third,woman,Cherbourg,yes,FALSE
male,,7.2292,C,Third,man,Cherbourg,no,TRUE
male,41.0,14.1083,S,Third,man,Southampton,no,FALSE
male,21.0,11.5,S,Second,man,Southampton,no,FALSE
female,48.0,25.9292,S,First,woman,Southampton,yes,TRUE
female,,69.55,S,Third,woman,Southampton,no,FALSE
male,24.0,13.0,S,Second,man,Southampton,no,TRUE
female,42.0,13.0,S,Second,woman,Southampton,yes,TRUE
female,27.0,13.8583,C,Second,woman,Cherbourg,yes,FALSE
male,31.0,50.4958,S,First,man,Southampton,no,TRUE
male,,9.5,S,Third,man,Southampton,no,TRUE
male,4.0,11.1333,S,Third,child,Southampton,yes,FALSE
male,26.0,7.8958,S,Third,man,Southampton,no,TRUE
female,47.0,52.5542,S,First,woman,Southampton,yes,FALSE
male,33.0,5.0,S,First,man,Southampton,no,TRUE
male,47.0,9.0,S,Third,man,Southampton,no,TRUE
female,28.0,24.0,C,Second,woman,Cherbourg,yes,FALSE
female,15.0,7.225,C,Third,child,Cherbourg,yes,TRUE
male,20.0,9.8458,S,Third,man,Southampton,no,TRUE
male,19.0,7.8958,S,Third,man,Southampton,no,TRUE
male,,7.8958,S,Third,man,Southampton,no,TRUE
female,56.0,83.1583,C,First,woman,Cherbourg,yes,FALSE
female,25.0,26.0,S,Second,woman,Southampton,yes,FALSE
male,33.0,7.8958,S,Third,man,Southampton,no,TRUE
female,22.0,10.5167,S,Third,woman,Southampton,no,TRUE
male,28.0,10.5,S,Second,man,Southampton,no,TRUE
male,25.0,7.05,S,Third,man,Southampton,no,TRUE
female,39.0,29.125,Q,Third,woman,Queenstown,no,FALSE
male,27.0,13.0,S,Second,man,Southampton,no,TRUE
female,19.0,30.0,S,First,woman,Southampton,yes,TRUE
female,,23.45,S,Third,woman,Southampton,no,FALSE
male,26.0,30.0,C,First,man,Cherbourg,yes,TRUE
male,32.0,7.75,Q,Third,man,Queenstown,no,TRUE